,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill subcat: Civil and Architectural Engineering,0.0079492812555912,0.0050426081423679,-36.565231745686,2164.8541666666665,predicted job posting shares 21_33_19_10_05_2023 VAR top grid search runs #6 lvl subcategory,0.0042954047326211
Skill subcat: Clean Energy,0.0003169459948837,0.0006854685419851,116.27297806259564,66.29166666666667,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0540906151402625
Skill subcat: Cleaning and Janitorial Services,0.0476946948435938,0.0091437552846987,-80.82856947783395,14267.4375,predicted job posting shares 05_29_01_11_05_2023 VAR top grid search runs #17 lvl subcategory,0.0064507019101643
Skill subcat: Client Support,0.0173408797785644,0.0160076003201898,-7.68864945377633,4935.479166666667,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0085809010645513
Skill subcat: Clinical Informatics,0.0056974196591886,0.0119458544908574,109.6713109695464,1228.0208333333333,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0130131860962683
Skill subcat: Clinical Trials,0.0079975656094485,0.0085442425562671,6.835541882554164,2444.020833333333,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0869283805360217
Skill subcat: Cloud Computing,0.0206136093606804,0.0179368949338783,-12.985180712252276,5121.916666666667,predicted job posting shares 14_16_37_09_05_2023 ARIMA top grid search runs #10 lvl subcategory,0.0654029976545809
Skill subcat: Cloud Solutions,0.0372452412180716,0.0423055391692596,13.586428187053109,9531.291666666666,predicted job posting shares 19_11_14_10_05_2023 VAR top grid search runs #5 lvl subcategory,0.0336018591438846
Skill subcat: Coaching and Athletic Training,0.0040899385987067,0.0037415998019264,-8.51696885841881,1182.3541666666667,predicted job posting shares 21_33_19_10_05_2023 VAR top grid search runs #6 lvl subcategory,0.0254829815817357
Skill subcat: Collaborative Software,0.0118116095540979,0.0146372799661774,23.922822703694656,3287.020833333333,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.0043083179578978
Skill subcat: Commercial Lending,0.0019497361194828,0.0028749144409319,47.451463416214445,550.8333333333334,predicted job posting shares 05_29_01_11_05_2023 VAR top grid search runs #17 lvl subcategory,0.0190794828415463
Skill subcat: Communication,0.4804998495695234,0.5123096161001529,6.620140788624108,147280.85416666666,predicted job posting shares 17_12_47_10_05_2023 VAR top grid search runs #3 lvl subcategory,0.0208668443892981
Skill subcat: Community and Social Work,0.0186986086928775,0.0337803741503669,80.65715318827014,5280.6875,predicted job posting shares 05_29_01_11_05_2023 VAR top grid search runs #17 lvl subcategory,0.0276221701664924
"Skill subcat: Company, Product, and Service Knowledge",0.0275794594438468,0.021886318437137,-20.642685250236067,9605.041666666666,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0058774020108221
Skill subcat: Compensation and Benefits,0.015822634359298,0.0224587686437535,41.940767471226096,2562.375,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0086929424128685
Skill subcat: Computer Hardware,0.0078627886994155,0.0085857883713594,9.19520668281021,2391.458333333333,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0140449946909642
Skill subcat: Computer Science,0.1076085409988996,0.2758039514657963,156.30303032230185,31145.3125,predicted job posting shares 00_10_54_11_05_2023 VAR top grid search runs #11 lvl subcategory,0.0199140134683923
Skill subcat: Computer-Aided Manufacturing,0.0026384654985394,0.0026465290262375,0.305614293708364,834.2708333333334,predicted job posting shares 03_40_54_11_05_2023 VAR top grid search runs #14 lvl subcategory,0.0126223779220632
Skill subcat: Concrete and Masonry,0.0023854716287567,0.0053256267596209,123.25257175230374,635.9791666666666,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.1241178726879897
Skill subcat: Configuration Management,0.0081230511898959,0.0035025734520296,-56.88106143678646,2636.5,predicted job posting shares 01_17_54_11_05_2023 VAR top grid search runs #12 lvl subcategory,0.011833151655988
Skill subcat: Conservation,0.000466081363927,0.0004031400250875,-13.50436720086456,129.29166666666666,predicted job posting shares 22_40_25_10_05_2023 VAR top grid search runs #8 lvl subcategory,0.0468763353185689
Skill subcat: Construction Estimating,0.0021105547555342,0.0023246467320708,10.143872172717511,669.0833333333334,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0119900660452869
Skill subcat: Construction Inspection,0.0068459364313444,0.0102104233547831,49.14575174893911,1857.25,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0093050106183079
Skill subcat: Construction Management,0.0141564664265541,0.0135681837776998,-4.155575488462468,4291.270833333333,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0723603625353807
Skill subcat: Construction Painting,0.0067505941393829,0.0070407060331719,4.297575706655069,1875.9166666666667,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0078690130850732
Skill subcat: Content Development and Management,0.0138985788667255,0.0190901691299391,37.35338924213867,3753.0833333333335,predicted job posting shares 00_10_54_11_05_2023 VAR top grid search runs #11 lvl subcategory,0.0147320484340933
